City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,port alfred,-33.5906,26.891,15.58,77,0,5.6,ZA,1720917818
293,avarua,-21.2078,-159.775,26.03,78,75,5.14,CK,1720917819
294,isla mujeres,21.2311,-86.731,29.03,82,7,4.8,MX,1720917821
295,al ghayzah,16.2079,52.176,26.4,90,100,3.14,YE,1720917368
296,nouadhibou,20.931,-17.0347,20.99,88,75,3.09,MR,1720917824
297,taro,-8.3862,115.28,23.0,74,100,1.8,ID,1720917826
298,grand gaube,-20.0064,57.6608,22.22,72,89,2.24,MU,1720917827
299,flin flon,54.7682,-101.865,22.95,34,6,3.04,CA,1720917828
300,sokcho,38.2083,128.5911,22.34,94,100,1.03,KR,1720917829
301,kikwit,-5.041,18.8162,22.5,37,6,0.98,CD,1720917830
302,crawfordsville,40.0411,-86.8745,28.62,82,12,1.75,US,1720917831
303,ad diwaniyah,31.9905,44.9306,33.51,19,5,5.45,IQ,1720917833
304,tayshet,55.9342,98.0044,19.87,67,56,1.69,RU,1720917834
305,khandyga,62.6667,135.6,27.21,44,55,1.67,RU,1720917835
306,sur,22.5667,59.5289,32.12,58,96,3.75,OM,1720917836
307,yaren,-0.5472,166.916,29.44,68,13,7.09,NR,1720917838
308,margate,51.3813,1.3862,14.27,85,15,4.72,GB,1720917839
309,jayapura,-2.5333,140.7,26.66,74,80,0.79,ID,1720917840
310,ambon,-3.6954,128.1814,25.96,70,72,5.18,ID,1720917841
311,krasnokamsk,58.0802,55.7541,10.09,77,7,1.55,RU,1720917844
312,saint-joseph,-21.3667,55.6167,18.21,75,10,4.12,RE,1720917845
313,buka,40.8108,69.1986,22.57,46,13,3.2,UZ,1720917846
314,mont-laurier,46.5501,-75.4993,24.79,87,52,1.59,CA,1720917847
315,russkaya polyana,49.417,31.9201,21.62,36,100,1.87,UA,1720917848
316,weno,7.4515,151.8468,25.97,89,100,4.12,FM,1720917850
317,camana,-16.6228,-72.7111,14.64,86,42,3.85,PE,1720917851
318,qaqortoq,60.7167,-46.0333,4.89,92,100,0.67,GL,1720917852
319,portland,45.5234,-122.6762,34.97,36,0,5.14,US,1720917270
320,kulhudhuffushi,6.6221,73.07,28.37,78,100,5.43,MV,1720917854
321,nova sintra,14.8667,-24.7167,24.56,80,99,3.96,CV,1720917856
322,tralee,52.2704,-9.7026,11.24,98,39,0.35,IE,1720917857
323,mahina,-17.5065,-149.489,25.87,83,75,2.06,PF,1720917858
324,wynyard,-41.0,145.7167,9.54,61,4,4.51,AU,1720917859
325,gateway,26.5776,-81.7504,27.19,91,0,2.06,US,1720917861
326,grants,35.1473,-107.8514,31.43,14,25,4.05,US,1720917862
327,alofi,-19.0595,-169.9187,25.94,69,75,5.66,NU,1720917863
328,kilindoni,-7.9139,39.6668,25.41,70,8,6.4,TZ,1720917864
329,asbestos,45.7668,-71.9324,21.75,94,6,1.35,CA,1720917865
330,margaret river,-33.95,115.0667,12.09,66,100,4.48,AU,1720917866
331,mili,6.0815,171.735,28.34,78,16,6.5,MH,1720917868
332,carbonear,47.7332,-53.2148,22.08,96,100,5.49,CA,1720917869
333,mogadishu,2.0371,45.3438,24.83,86,8,9.17,SO,1720917870
334,smithers,54.7804,-127.1743,24.18,31,75,6.17,CA,1720917871
335,nadi,-17.8,177.4167,27.0,65,20,5.14,FJ,1720917873
336,kapa'a,22.0752,-159.319,29.18,66,100,8.75,US,1720917875
337,labytnangi,66.6572,66.4183,12.44,66,0,0.79,RU,1720917876
338,ostersund,63.1792,14.6357,16.25,77,40,3.09,SE,1720917877
339,dangriga,16.9692,-88.2321,27.41,86,100,5.15,BZ,1720917879
340,susuman,62.7833,148.1667,24.04,38,100,1.07,RU,1720917880
341,abu jibeha,11.4562,31.2285,23.61,77,100,1.49,SD,1720917881
342,ulladulla,-35.35,150.4667,12.55,52,0,1.12,AU,1720917882
343,dubbo,-32.25,148.6167,9.07,87,40,4.12,AU,1720917884
344,kenai,60.5544,-151.2583,12.23,100,100,6.17,US,1720917885
345,trincomalee,8.5711,81.2335,27.73,77,100,9.27,LK,1720917886
346,kerman,30.2832,57.0788,26.92,24,0,4.12,IR,1720917887
347,aras-asan,8.8908,126.3033,28.51,68,97,1.81,PH,1720917888
348,mejit,10.2753,170.8646,27.98,83,93,9.95,MH,1720917890
349,akureyri,65.6835,-18.0878,14.96,63,75,6.17,IS,1720917891
350,black point,-34.6187,137.8972,12.65,73,8,3.43,AU,1720917892
351,hami,42.8,93.45,26.16,38,0,4.94,CN,1720917893
352,pohrebyshche,49.4864,29.2636,22.5,42,0,3.58,UA,1720917894
353,hailey,43.5196,-114.3153,33.92,15,0,5.14,US,1720917896
354,kaiapoi,-43.3783,172.6401,11.15,88,100,4.12,NZ,1720917897
355,kani keli,-12.9536,45.1033,25.59,71,0,10.14,YT,1720917898
356,vorozhba,51.1733,34.2192,22.03,51,0,1.94,UA,1720917899
357,mar del plata,-38.0023,-57.5575,8.82,58,0,3.13,AR,1720917902
358,springbok,-29.6643,17.8865,4.9,92,83,4.03,ZA,1720917903
359,laojunmiao,39.8333,97.7333,15.8,71,91,2.87,CN,1720917904
360,khouribga,32.9333,-6.6,23.63,35,0,1.91,MA,1720917905
361,saldanha,-33.0117,17.9442,8.03,77,30,8.57,ZA,1720917906
362,ta`u,-14.2336,-169.5144,26.43,70,100,2.51,AS,1720917908
363,new norfolk,-42.7826,147.0587,8.84,82,100,2.1,AU,1720917909
364,ishigaki,24.3448,124.1572,32.07,79,75,5.14,JP,1720917910
